Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
QC STAFF,[],,,,,,,,,,,,
Kỹ Thuật Bảo Trì,['Bình Dương'],CÔNG TY TNHH LF LOGISTICS (VIỆT NAM),"Lô số 18 L1-2, Đường số 3, Khu công nghiệp Việt Nam - Singapore 2 (VSIP 2) - Phường Hoà Phú - Thành phố Thủ Dầu Một - Bình Dương.",HR Department,100-499,100% vốn nước ngoài,09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,31/12/2024
NHÂN VIÊN BẢO TRÌ,['Bình Dương'],CÔNG TY TNHH SẢN XUẤT GREAT LOTUS VIỆT NAM,"Số 3 VSIP II-A đường số 26, Khu công nghiệp Việt Nam-Singapore II-A, Phường Vĩnh Tân, Thành Phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY TNHH SẢN XUẤT GREAT LOTUS VIỆT NAM,100-499,100% vốn nước ngoài,09/12/2024,Bảo trì / Sửa chữa,Nhân viên chính thức,13 Tr - 15 Tr VND,3 - 4 Năm,Nhân viên,09/12/2024
HR cum Compliance Manager,['Bình Dương'],CTY TNHH S.H VIET NAM,"241 Khu phố Hưng Lộc Phường Hưng Đinh, Tp Thuận An, tỉnh Bình Dương",Phòng Nhân Sự,500-999,100% vốn nước ngoài,09/12/2024,"Quản lý điều hành , Nhân sự , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,Lên đến 5 Năm,Quản lý,31/12/2024
CHUYÊN VIÊN TƯ VẤN ĐẦU TƯ CHỨNG KHOÁN KHÁCH HÀNG CÁ NHÂN (BÌNH DƯƠNG),['Bình Dương'],VDSC - CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,"Lầu 4, Tòa nhà Viet Dragon, 141 Nguyễn Du, P. Bến Thành, Q. 1, TP. HCM",Công ty Cổ phần Chứng khoán Rồng Việt,500-999,Cổ phần,09/12/2024,"Ngân hàng , Chứng khoán , Tài chính / Đầu tư",Nhân viên chính thức,7 Tr - 20 Tr VND,,Nhân viên,31/01/2025
Giám sát kho,['Bình Dương'],CÔNG TY AVANTI - GROUP,"Tầng 18, Tòa nhà Bitexco,Phường Bến Nghé, Quận 1, Tp. HCM",Ms. Hoa,100-499,Trách nhiệm hữu hạn,09/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,15 Tr - 18 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,09/01/2025
Nhân Viên hành chính an toàn,['Bình Dương'],,,,,,09/12/2024,"Môi trường , An toàn lao động",Nhân viên chính thức,8 Tr - 12 Tr VND,,Nhân viên,10/01/2025
"NHÂN VIÊN SÁNG TẠO NỘI DUNG (LÀM VIỆC Ở DĨ AN, BÌNH DƯƠNG)",['Bình Dương'],"CÔNG TY CỔ PHẦN SẢN XUẤT, THƯƠNG MẠI VÀ DỊCH VỤ PHÚC THỊNH",P26.01 - Tòa nhà TTTM và Căn hộ Xa la - Phường Phúc La - Quận Hà Đông - Hà Nội,P. HCNS,100-499,Cổ phần,09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
KẾ TOÁN BÁN HÀNG - LÀM VIỆC Ở BÌNH DƯƠNG,['Bình Dương'],"CÔNG TY CỔ PHẦN SẢN XUẤT, THƯƠNG MẠI VÀ DỊCH VỤ PHÚC THỊNH",P26.01 - Tòa nhà TTTM và Căn hộ Xa la - Phường Phúc La - Quận Hà Đông - Hà Nội,P. HCNS,100-499,Cổ phần,09/12/2024,"Kế toán / Kiểm toán , Thực phẩm & Đồ uống , Tài chính / Đầu tư",Nhân viên chính thức,7 Tr - 8 Tr VND,,Nhân viên,31/12/2024
ENGINEERING OFFICER (FACTORY 2),[],,,,,,,,,,,,
Junior Production Supervisor (Factory 1),[],,,,,,,,,,,,
Purchasing Officer,[],,,,,,,,,,,,
JUNIOR PRODUCTION SUPERVISOR (FACTORY 2),[],,,,,,,,,,,,
Giám sát IT (Chuyên hệ thống ERP)/ ERP Supervisor,['Bình Dương'],CÔNG TY TNHH CIRQL MANUFACTURING VIETNAM,"Thửa đất số 119, Tờ bản đồ số 39, Đường CN7, Khu công nghiệp Tân Bình, Thị trấn Tân Bình, Huyện Bắc Tân Uyên, Tỉnh Bình Dương, Việt Nam",HR dept,25-99,100% vốn nước ngoài,09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,25 Tr - 30 Tr VND,5 - 7 Năm,Trưởng nhóm / Giám sát,09/01/2025
Nhân viên R&D ( Bến Cát- Bình Dương),['Bình Dương'],CÔNG TY CỔ PHẦN SỮA VITADAIRY VIỆT NAM,"Tầng 5 37 Tôn Đức Thắng, Phường Bến Nghé Quận 1 TP Hồ Chí Minh",Bộ phận Tuyển dụng,,Cổ phần,09/12/2024,"Thực phẩm & Đồ uống , Công nghệ sinh học , Công nghệ thực phẩm / Dinh dưỡng",Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 3 Năm,Nhân viên,09/01/2025
Phó Phòng Vận Tải (Bình Dương),['Bình Dương'],CÔNG TY TNHH YCH - PROTRADE,"Khu Phố Đồng An, Phường Bình Hòa, Thị Xã Thuận An, Tỉnh Bình Dương",Ms. Nga,,Liên doanh,09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Cơ khí / Ô tô / Tự động hóa , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Quản lý,09/01/2025
Chuyên viên Xử lý nợ có TSBĐ - TA156,"['Hồ Chí Minh', 'Long An', 'Bình Dương']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/12/2024,"Luật / Pháp lý , Ngân hàng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,22/01/2025
International Sales Manager/ Export Sales Manager,"['Bình Dương', 'Hồ Chí Minh']",CÔNG TY CP TẬP ĐOÀN KỸ NGHỆ GỖ TRƯỜNG THÀNH,"Đường DT747, khu phố 7, Phường Uyên Hưng, Thành phố Tân Uyên, Bình Dương",Nhân sự,1.000-4.999,Cổ phần,09/12/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Đồ gỗ",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,25/01/2025
CHUYÊN VIÊN TƯ VẤN ĐẦU TƯ KHÁCH HÀNG CÁ NHÂN (BÌNH DƯƠNG),['Bình Dương'],VDSC - CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,"Lầu 4, Tòa nhà Viet Dragon, 141 Nguyễn Du, P. Bến Thành, Q. 1, TP. HCM",Công ty Cổ phần Chứng khoán Rồng Việt,500-999,Cổ phần,09/12/2024,"Ngân hàng , Chứng khoán , Tài chính / Đầu tư",Nhân viên chính thức,7 Tr - 20 Tr VND,Trên 1 Năm,Nhân viên,09/01/2025
Quality Jail Coordinator,['Bình Dương'],CÔNG TY TNHH LEGO MANUFACTURING VIỆT NAM,"Số 1 Đường số 3, Khu Công Nghiệp Việt Nam – Singapore III, Phường Hội Nghĩa, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",HR Dept,1.000-4.999,Công ty đa quốc gia,09/12/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024
Technical Writer,['Bình Dương'],CÔNG TY TNHH LEGO MANUFACTURING VIỆT NAM,"Số 1 Đường số 3, Khu Công Nghiệp Việt Nam – Singapore III, Phường Hội Nghĩa, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",HR Dept,1.000-4.999,Công ty đa quốc gia,09/12/2024,Biên phiên dịch,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024
Nhân viên Kế toán giá thành,['Bình Dương'],CÔNG TY TNHH SX-TM-DV TÂN TƯỜNG KHANG,"Lô F1&F2, Đường D2&N5, KCN Nam Tân Uyên, Khánh Bình, Tân Uyên, Bình Dương",Ms Hiền- Ms Huyền,500-999,Trách nhiệm hữu hạn,09/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,09/01/2025
Deputy Administration Manager (Phó Phòng Hành Chính),['Bình Dương'],CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM HOÀNG SƠN,"Lô CN7, đường N4, khu công nghiệp Sóng Thần 3, Phường Phú Tân, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",P.HCNS,,Cổ phần,09/12/2024,"Hành chính / Thư ký , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Quản lý,31/01/2025
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Bình Phước', 'Bình Dương', 'Tây Ninh']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,09/12/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025
NHÂN VIÊN LỄ TÂN PHÒNG KHÁM KHU VỰC ĐÔNG NAM BỘ,"['Bình Dương', 'Bình Phước', 'Long An']",HỆ THỐNG PHÒNG KHÁM 315,"207B Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP. HCM",Bộ phận tuyển dụng,25-99,Cổ phần,09/12/2024,"Hành chính / Thư ký , Dịch vụ khách hàng , Bán lẻ / Bán sỉ",Nhân viên chính thức,Lên đến 9 Tr VND,Trên 1 Năm,Nhân viên,31/01/2025
NHÂN VIÊN VẬN HÀNH MÁY IN (DECO),['Bình Dương'],CÔNG TY TNHH LON NƯỚC GIẢI KHÁT TBC-BALL VIỆT NAM,"Số 2 Đường 18, KCN Việt Nam - Singapore II-A, Tân Uyên",TBC BALL VN,,Trách nhiệm hữu hạn,09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025
NHÂN VIÊN TIẾP THỊ,['Bình Dương'],CÔNG TY TNHH SÂN GOLF PALM SÔNG BÉ,"77 Đại Lộ Bình Dương , Lái Thiêu",Ms Lê Thị Yến Tâm,500-999,Trách nhiệm hữu hạn,09/11/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,08/12/2024
Chuyên viên Phát triển Khách hàng Dự án (Logistics/ Express Delivery),"['Hồ Chí Minh', 'Bình Dương']",NHẤT TÍN LOGISTICS,"18A Cộng Hòa, Phường 12, Quận Tân Bình",Mr. Phạm Văn Hương,1.000-4.999,Cổ phần,09/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,18 Tr - 26 Tr VND,2 - 5 Năm,Nhân viên,08/12/2024
NHÂN VIÊN TƯ VẤN BÁN HÀNG TẠI SHOWROOM,['Bình Dương'],CÔNG TY TNHH MINH LONG I,"333 đường Hưng Định 24, KP Hưng Lộc, P. Hưng Định, Thuận An, Bình Dương",Khối Quản trị nguồn nhân lực,1.000-4.999,Trách nhiệm hữu hạn,09/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,08/12/2024
Chuyên viên Xử lý nợ có TSBĐ - TA156,"['Hồ Chí Minh', 'Long An', 'Bình Dương']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/11/2024,"Luật / Pháp lý , Ngân hàng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,08/12/2024
Sales Executive/ Chuyên Viên Kinh Doanh,['Bình Dương'],SOMERSET SERVICED RESIDENCE,"11 Mac Dinh Chi Street, Ben Nghe Ward, Dist. 1",HR Team,300,Liên doanh,09/11/2024,"Bán hàng / Kinh doanh , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,08/12/2024
Senior Accountant,['Bình Dương'],,,,,,09/11/2024,"Kế toán / Kiểm toán , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,08/12/2024
Nhân viên kiểm soát chất lượng chuyền,['Bình Dương'],CÔNG TY TNHH DỆT LIÊN CHÂU,"Lô CN7, Đường N5, KCN Sóng Thần 3, P. Phú Tân, Tp. Thủ Dầu Một, Bình Dương",CÔNG TY TNHH DỆT LIÊN CHÂU,100-499,Trách nhiệm hữu hạn,09/11/2024,Dệt may / Da giày / Thời trang,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,08/12/2024
CHUYÊN VIÊN QUAY DỰNG VIDEO,"['Bình Dương', 'Hồ Chí Minh', 'Đồng Nai']",CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VIỆT MINH LONG,"68/69/9/16 Đường TA32, Khu Phố 5, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR team,100-499,Trách nhiệm hữu hạn,09/11/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,13 Tr - 16 Tr VND,Trên 2 Năm,Nhân viên,08/12/2024
AP ACCOUNTANT (TEMPORARY 1 YEAR CONTRACT),[],,,,,,,,,,,,
[Tân Uyên Bình Dương] Nhân Viên Kế Toán,['Bình Dương'],CÔNG TY CỔ PHẦN VACXIN VIỆT NAM,"198 Hoàng Văn Thụ, P. 9, Quận Phú Nhuận",Phòng Nhân Sự,,,09/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,08/12/2024
Nhân viên bảo trì,['Bình Dương'],CÔNG TY TNHH THƯƠNG MẠI CƠ KHÍ NGUYỄN MẪN,"Thửa đất số 190 Tờ bản đồ số 15, Tổ 2, Khu phố Khánh Long, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương",HR,,Trách nhiệm hữu hạn,09/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,12 Tr - 15 Tr VND,3 - 7 Năm,Nhân viên,08/12/2024
Nhân viên kế hoạch sản xuất,['Bình Dương'],CÔNG TY TNHH THƯƠNG MẠI CƠ KHÍ NGUYỄN MẪN,"Thửa đất số 190 Tờ bản đồ số 15, Tổ 2, Khu phố Khánh Long, Phường Tân Phước Khánh, Thành phố Tân Uyên, Tỉnh Bình Dương",HR,,Trách nhiệm hữu hạn,09/11/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất , Nội ngoại thất",Nhân viên chính thức,12 Tr - 15 Tr VND,3 - 7 Năm,Nhân viên,08/12/2024
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Bình Phước', 'Bình Dương', 'Tây Ninh']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,09/11/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,08/12/2024
TRƯỞNG PHÒNG KINH DOANH,['Bình Dương'],TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG TMCP CÔNG THƯƠNG VIỆT NAM,"126 Đội Cấn, Ba Đình",Ms Hằng,1.000-4.999,Cổ phần,29/11/2024,"Bảo hiểm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,31/12/2024
Vice Principal (K12 Bilingual School),"['Bình Dương', 'Đồng Nai', 'Hồ Chí Minh']",HEADHUNTER HRCHANNELS GROUP,"Tòa MD Complex, Hàm Nghi, Hà Nội, Việt Nam.",Ms Hương,25-99,Cổ phần,29/11/2024,"Giáo dục / Đào tạo , Quản lý điều hành , Nhân sự",Nhân viên chính thức,80 Tr - 100 Tr VND,3 - 5 Năm,Phó Giám đốc,08/12/2024
Giao Dịch Viên Tài Chính Tại PNJ Thuận An,['Bình Dương'],CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,"Tầng 1, Vincom Plaza Cộng Hoà, 15-17 Cộng Hòa, Phường 4, Quận Tân Bình.",Phòng Nhân sự,100-499,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 20 Tr VND,Lên đến 1 Năm,Nhân viên,08/12/2024
Nhân Viên Buồng Phòng / Housekeeping Attendant,['Bình Dương'],SOMERSET SERVICED RESIDENCE,"11 Mac Dinh Chi Street, Ben Nghe Ward, Dist. 1",HR Team,300,Liên doanh,29/11/2024,"Lao động phổ thông , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,,Nhân viên,04/12/2024
NHÂN VIÊN KINH DOANH THỊ TRƯỜNG (KÊNH NHÀ THUỐC - GT - SPA),"['Bà Rịa - Vũng Tàu', 'Bình Dương', 'Đồng Nai']",CÔNG TY CỔ PHẦN ĐẦU TƯ DƯỢC PHẨM HTP,"242 Cộng Hòa, phường 12, quận Tân Bình, TP.HCM",Phòng nhân sự,100-499,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,08/12/2024
KỸ SƯ TRẮC ĐẠC - LÀM VIỆC TẠI BÌNH DƯƠNG,[],,,,,,,,,,,,
