Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Tuyển Sinh - admin vận hành,['Hồ Chí Minh'],04/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,7 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,14/12/2024,MINDX TECHNOLOGY SCHOOL,"Tầng 5, 71 Nguyễn Chí Thanh, Hà Nội",HR MindX,100-499,Cổ phần
Senior Key Account Executive,['Hồ Chí Minh'],29/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,30/11/2024,CÔNG TY TNHH ONPOINT,"Tầng 4, Tòa nhà AB, 27B Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",HR Department,50-200,Trách nhiệm hữu hạn
Thiết Kế Đồ Họa,['Hồ Chí Minh'],05/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Tiếp thị / Marketing",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,04/12/2024,CÔNG TY TNHH 3D SMART SOLUTIONS,"Số 58/6 Đường Võ Văn Hát, Khu Phố Phước Hiệp, Phường Long Trường, Thành phố Thủ Đức, Tp Hồ Chí Minh, Việt Nam",Ms. Trang,25-99,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh Nội Thất,['Hồ Chí Minh'],05/12/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Xây dựng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,14/12/2024,CÔNG TY TNHH GO FLOOR,"G-07, Tầng 1, Khu phức hợp The Manor, 89 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Ms. Trinh,25-99,Trách nhiệm hữu hạn
Project Manager (Operations Department),['Hồ Chí Minh'],03/12/2024,"Dịch vụ khách hàng , Sản xuất / Vận hành sản xuất , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,12/12/2024,DIGI-TEXX VIETNAM,"2nd Floor, Anna Building, Quang Trung Software City, Dist. 12",Ms. Huyền,1.000-4.999,Trách nhiệm hữu hạn
Nhân viên Bán hàng,['Hồ Chí Minh'],04/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,13/12/2024,CÔNG TY TNHH JOYCO RETAIL OPERATIONS,"Tầng 03 tòa nhà PLS, số 279 Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",Cát Tường,25-99,Trách nhiệm hữu hạn
Nhân viên khai báo hải quan,['Hồ Chí Minh'],04/12/2024,Ngành khác,Nhân viên chính thức,15 Tr - 22 Tr VND,4 - 7 Năm,Nhân viên,31/12/2024,VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn
CONTENT LEADER,['Hồ Chí Minh'],02/12/2024,"Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,08/12/2024,VASCARA GROUP,"Lầu 4, Tòa nhà ACM, số 96 Cao Thắng, P. 4, Q. 3, TP HCM",Team Tuyển dụng,500-999,Trách nhiệm hữu hạn
TBP Pháp lý - Ban Pháp lý và tuân thủ (HO),['Hồ Chí Minh'],03/12/2024,"Luật / Pháp lý , Ngân hàng",Nhân viên chính thức,10 Tr - 25 Tr VND,5 - 7 Năm,Trưởng nhóm / Giám sát,11/12/2024,NGÂN HÀNG VIỆT NAM THƯƠNG TÍN,"62A Cách Mạng Tháng 8, P. Võ Thị Sáu, Q. 3",Vietbank,,Cổ phần
E-commerce Manager,['Hồ Chí Minh'],29/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,08/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
