Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Nhân viên kinh doanh,"['Cần Thơ', 'Khánh Hòa', 'Bình Dương']",21/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Nội ngoại thất",Nhân viên chính thức,15 Tr - 17 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN GỖ AN CƯỜNG,"702/1K Sư Vạn Hạnh, P.12, Q.10, TP.HCM",Bộ phận Tuyển dụng,Cổ phần,
Trưởng Phòng Kỹ Thuật - Sản Xuất,['Bà Rịa - Vũng Tàu'],04/12/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,20 Tr - 30 Tr VND,Trên 5 Năm,Quản lý,31/01/2025,CÔNG TY CỔ PHẦN BAO BÌ ĐẠM PHÚ MỸ,"Đường 1B, KCN Phú Mỹ 1, Phường Phú Mỹ, Thị Xã Phú Mỹ, Tỉnh Bà Rịa Vũng Tàu",Ms. Hoa,Cổ phần,500
"Trình Dược Viên (Thực Phẩm Chức Năng, Chăm sóc Sức khoẻ) - An Giang",['An Giang'],03/12/2024,"Tiếp thị / Marketing , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,,Nhân viên,12/12/2024,MEGA LIFESCIENCES (VIETNAM),"Tầng 5, Tòa nhà E.Town1, 364 Cộng Hòa, P. 13 Q. Tân Bình",Mr. Nguyên,100% vốn nước ngoài,600
Kỹ Sư QS,"['Bà Rịa - Vũng Tàu', 'Lâm Đồng', 'Bình Thuận']",03/12/2024,Xây dựng,Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,18/12/2024,DECOFI - CÔNG TY CP XÂY DỰNG & THIẾT KẾ SỐ 1,"28 Mạc Đỉnh Chi, Q.1",Ms. Quỳnh Như,Cổ phần,
Kỹ Sư Qa/QC,"['Bà Rịa - Vũng Tàu', 'Lâm Đồng', 'Bình Thuận']",03/12/2024,Xây dựng,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,18/12/2024,DECOFI - CÔNG TY CP XÂY DỰNG & THIẾT KẾ SỐ 1,"28 Mạc Đỉnh Chi, Q.1",Ms. Quỳnh Như,Cổ phần,
Kỹ Sư Shopdrawing,"['Bà Rịa - Vũng Tàu', 'Lâm Đồng', 'Bình Thuận']",03/12/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,18/12/2024,DECOFI - CÔNG TY CP XÂY DỰNG & THIẾT KẾ SỐ 1,"28 Mạc Đỉnh Chi, Q.1",Ms. Quỳnh Như,Cổ phần,
Nhân Viên Hành Chính,['Hà Nội'],02/12/2024,"Kế toán / Kiểm toán , Hành chính / Thư ký",Nhân viên chính thức,Trên 10 Tr VND,Trên 2 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH MAXPEED VIỆT NAM,"Tầng 5 tòa N01-T2, Ngoại Giao Đoàn, đường Hoàng Minh Thảo, Phường Xuân Tảo, Quận Bắc Từ Liêm",Ms Hằng,Trách nhiệm hữu hạn,25-99
QA Staff,['Bình Dương'],02/12/2024,"Vận chuyển / Giao nhận / Kho vận , Dệt may / Da giày / Thời trang , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,15/12/2024,CÔNG TY HANSOLL VINA,"Số 6,KCN Sóng Thần 1,Dĩ An",Ms. Xuyến,100% vốn nước ngoài,~5000
OPERATION INTERN,[],,,,,,,,,,,,
Technical Department Supervisor,['Bình Dương'],05/12/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Trưởng nhóm / Giám sát,14/12/2024,CÔNG TY TNHH GRITTI VIỆT NAM,"Ấp 1B, An Phú, Thuận An",HR Dept,100% vốn nước ngoài,150
"Trình Dược Viên (Thực Phẩm Chức Năng, Chăm sóc Sức khoẻ) - Bình Định",['Bình Định'],05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,17/11/2024,MEGA LIFESCIENCES (VIETNAM),"Tầng 5, Tòa nhà E.Town1, 364 Cộng Hòa, P. 13 Q. Tân Bình",Mr. Nguyên,100% vốn nước ngoài,600
"Trình Dược Viên (Thực Phẩm Chức Năng, Chăm sóc Sức khoẻ) - Hà Tĩnh",['Hà Tĩnh'],05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,17/11/2024,MEGA LIFESCIENCES (VIETNAM),"Tầng 5, Tòa nhà E.Town1, 364 Cộng Hòa, P. 13 Q. Tân Bình",Mr. Nguyên,100% vốn nước ngoài,600
"Trình Dược Viên (Thực Phẩm Chức Năng, Chăm sóc Sức khoẻ) - Nghệ An",['Nghệ An'],05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,17/11/2024,MEGA LIFESCIENCES (VIETNAM),"Tầng 5, Tòa nhà E.Town1, 364 Cộng Hòa, P. 13 Q. Tân Bình",Mr. Nguyên,100% vốn nước ngoài,600
CN Kỹ thuật,['Đồng Nai'],05/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,31/12/2024,"TOKIN ELECTRONICS (VIETNAM) CO., LTD.","Lô A5-A6 Khu công nghiệp Long Bình, Biên Hòa, Đồng Nai",Ms. Sao,100% vốn nước ngoài,1.000-4.999
,[],,,,,,,,,,,,
Education Consultant - Tư Vấn Tuyển Sinh - Binh Duong,['Bình Dương'],04/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,10 Tr - 35 Tr VND,2 - 5 Năm,Nhân viên,06/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
[Nhà Hàng Thái Express Aeon Bình Dương] - Tuyển gấp Tổ trưởng nhà hàng,['Bình Dương'],04/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,"7 Tr - 7,5 Tr VND",1 - 2 Năm,Trưởng nhóm / Giám sát,10/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Assistant to Contract Administrator (Trợ lý quản lý hợp đồng),['Hà Nội'],03/12/2024,"Kiến trúc , Xây dựng , Bất động sản",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,12/12/2024,CÔNG TY TNHH DLS CONSULTANT,"Tầng 11, Tòa nhà Trung Tâm Tài Chính Bảo Việt, 233 Đồng Khởi, P. Bến Nghé, Q.1",Ms. Vy,Trách nhiệm hữu hạn,
QUẢN LÝ KINH DOANH ( làm việc tại HÀ NỘI),['Hà Nội'],03/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,20/12/2024,CÔNG TY VMEP - SYM,"Lô số 4, đường 5C KCN Nhơn Trạch 2, Hiệp Phước, Nhơn Trạch, Đồng Nai",Phòng Nhân Sự,100% vốn nước ngoài,
Kiến trúc sư (không yêu cầu kinh nghiệm),['Bình Dương'],03/12/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,12/12/2024,CTY CP CLEAR WATER METAL VN,"KCN Mai Trung, Xã An Tây",Ms.Kim Ánh,100% vốn nước ngoài,500-999
[Nhà hàng Thái EXpress - Aeon Mall Bình Dương] - Tổ Trưởng Nhà Hàng,['Bình Dương'],02/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,"6,9 Tr - 7,5 Tr VND",1 - 2 Năm,Trưởng nhóm / Giám sát,15/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
"Trình Dược Viên (Thực Phẩm Chức Năng, Mỹ Phẩm) - Đồng Tháp (Không Yêu Cầu Kinh Nghiệm)",['Đồng Tháp'],29/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,9 Tr - 25 Tr VND,,Nhân viên,30/11/2024,MEGA LIFESCIENCES (VIETNAM),"Tầng 5, Tòa nhà E.Town1, 364 Cộng Hòa, P. 13 Q. Tân Bình",Mr. Nguyên,100% vốn nước ngoài,600
Nhân Viên Kinh Doanh,['Hà Nội'],28/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tư vấn",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,08/12/2024,CÔNG TY CỔ PHẦN GỖ AN CƯỜNG,"702/1K Sư Vạn Hạnh, P.12, Q.10, TP.HCM",Bộ phận Tuyển dụng,Cổ phần,
NHÂN VIÊN R&D,['Bình Dương'],27/11/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,9 Tr - 13 Tr VND,,Nhân viên,06/12/2024,CTY CP CLEAR WATER METAL VN,"KCN Mai Trung, Xã An Tây",Ms.Kim Ánh,100% vốn nước ngoài,500-999
Tư Vấn Tuyển Sinh - Trung Tâm Bình Dương,['Bình Dương'],05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,10 Tr - 35 Tr VND,2 - 5 Năm,Nhân viên,03/01/2025,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
NHÂN VIÊN SALE KỸ THUẬT 3D,['Bình Dương'],03/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,9 Tr - 13 Tr VND,Trên 1 Năm,Nhân viên,01/01/2025,CTY CP CLEAR WATER METAL VN,"KCN Mai Trung, Xã An Tây",Ms.Kim Ánh,100% vốn nước ngoài,500-999
ĐẦU BẾP BÁNH,['Bình Dương'],02/12/2024,"Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH SÂN GOLF PALM SÔNG BÉ,"77 Đại Lộ Bình Dương , Lái Thiêu",Ms Lê Thị Yến Tâm,Trách nhiệm hữu hạn,500-999
ĐẦU BẾP,['Bình Dương'],02/12/2024,"Lao động phổ thông , Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH SÂN GOLF PALM SÔNG BÉ,"77 Đại Lộ Bình Dương , Lái Thiêu",Ms Lê Thị Yến Tâm,Trách nhiệm hữu hạn,500-999
Part-time English Teacher (Binh Duong),['Bình Dương'],02/12/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Biên phiên dịch",Bán thời gian,Cạnh tranh,1 - 3 Năm,Nhân viên,31/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
English Mentor (Binh Duong Center),['Bình Dương'],01/12/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Biên phiên dịch",Bán thời gian,Cạnh tranh,1 - 3 Năm,Nhân viên,30/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
Kiến trúc sư,['Bình Dương'],01/12/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,12 Tr - 17 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CTY CP CLEAR WATER METAL VN,"KCN Mai Trung, Xã An Tây",Ms.Kim Ánh,100% vốn nước ngoài,500-999
Chuyên viên Phát triển Tổ chức,['Hà Nội'],30/11/2024,Nhân sự,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,29/12/2024,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP CMC,"CMC Creative Space - Đường số 19, KCX Tân Thuận, Quận 7,",Talent Acquisition Team,Trách nhiệm hữu hạn,500-999
[King BBQ - BIC C DĨ AN] - Tổ Trưởng/Giám sát nhà hàng,['Bình Dương'],29/11/2024,"Nhà hàng / Khách sạn , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,28/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Finance Executive (General Accountant),['Bình Dương'],28/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN SETIABECAMEX,"EcoLakes Mỹ Phước, P. Thới Hòa, Tx. Bến Cát, Bình Dương",HR Dept,,29-99
